!SIL	SIL
战略	dz^II iM^MM;3 n^MF l^MI M9M^MM;6 k^FF
战略伙伴	dz^II iM^MM;3 n^MF l^MI M9M^MM;6 k^MF f^MI OM^MF;2 b^MI uM^MM;6 n^FF
战舰	dz^II iM^MM;3 n^MF l^MI aM^MM;6 m^FF
截	dz^II iM^MM;6 t^FF
截然	dz^II iM^MM;6 t^MF j^MI iM^MM;4 n^FF
截然不同	dz^II iM^MM;6 t^MF j^MI iM^MM;4 n^MF b^MI M6^MM;1 t^MF t^MI uM^MM;4 N^FF
截稿	dz^II iM^MM;6 t^MF g^MI ow^FF;2
户	w^II uM^FF;6
户主	w^II uM^MF;6 dz^MI yM^FF;2
户口	w^II uM^MF;6 h^MI M6w^FF;2
户口簿	w^II uM^MF;6 h^MI M6w^MF;2 b^MI ow^FF;2
房	f^II OM^MM;4 N^FF
房一厅	f^II OM^MM;2 N^MF j^MI M6^MM;1 t^MF t^MI EM^MM;1 N^FF
房东	f^II OM^MM;4 N^MF d^MI uM^MM;1 N^FF
房中	f^II OM^MM;4 N^MF dz^MI uM^MM;1 N^FF
房产	f^II OM^MM;4 N^MF ts^MI aM^MM;2 n^FF
房产证	f^II OM^MM;4 N^MF ts^MI aM^MM;2 n^MF dz^MI iM^MM;3 N^FF
房内	f^II OM^MM;4 N^MF l^MI OMj^FF;6
房地	f^II OM^MM;4 N^MF d^MI ej^FF;6
房地产	f^II OM^MM;4 N^MF d^MI ej^MF;6 ts^MI aM^MM;2 n^FF
房委会	f^II OM^MM;4 N^MF w^MI M6j^MF;2 w^MI uMj^FF;2
房客	f^II OM^MM;4 N^MF h^MI aM^MM;3 k^FF
房屋	f^II OM^MM;4 N^MF N^MI uM^MM;1 k^FF
房租	f^II OM^MM;4 N^MF dz^MI ow^FF;1
房舍	f^II OM^MM;4 N^MF s^MI EM^FF;3
房车	f^II OM^MM;2 N^MF ts^MI EM^FF;1
房间	f^II OM^MM;4 N^MF g^MI aM^MM;1 n^FF
所	s^II OM^FF;2
所为	s^II OM^MF;2 w^MI M6j^FF;4
所以	s^II OM^MF;2 j^MI iM^FF;5
所伤	s^II OM^MF;2 s^MI M9M^MM;1 N^FF
所作	s^II OM^MF;2 dz^MI OM^MM;3 k^FF
所出	s^II OM^MF;2 ts^MI M9M^MM;1 t^FF
所分	s^II OM^MF;2 f^MI M6^MM;1 n^FF
所列	s^II OM^MF;2 l^MI iM^MM;6 t^FF
所及	s^II OM^MF;2 k^MI M6^MM;6 p^FF
所发	s^II OM^MF;2 f^MI aM^MM;3 t^FF
所向	s^II OM^MF;2 h^MI M9M^MM;3 N^FF
所在	s^II OM^MF;2 dz^MI OMj^FF;6
所属	s^II OM^MF;2 s^MI uM^MM;6 k^FF
所得	s^II OM^MF;2 d^MI M6^MM;1 t^FF
所托	s^II OM^MF;2 t^MI OM^MM;3 k^FF
所有	s^II OM^MF;2 j^MI M6w^FF;5
所有人	s^II OM^MF;2 j^MI M6w^MF;5 j^MI M6^MM;4 n^FF
所欲	s^II OM^MF;2 j^MI uM^MM;6 k^FF
所求	s^II OM^MF;2 k^MI M6w^FF;4
所称	s^II OM^MF;2 ts^MI iM^MM;1 N^FF
所立	s^II OM^MF;2 l^MI aM^MM;6 p^FF
所能	s^II OM^MF;2 n^MI M6^MM;4 N^FF
所见	s^II OM^MF;2 g^MI iM^MM;3 n^FF
所谓	s^II OM^MF;2 w^MI M6j^FF;6
所选	s^II OM^MF;2 s^MI yM^MM;2 n^FF
所附	s^II OM^MF;2 f^MI uM^FF;6
所需	s^II OM^MF;2 s^MI M9y^FF;1
手	s^II M6w^FF;2
手上	s^II M6w^MF;2 s^MI M9M^MM;6 N^FF
手册	s^II M6w^MF;2 ts^MI aM^MM;3 k^FF
手动	s^II M6w^MF;2 d^MI uM^MM;6 N^FF
手套	s^II M6w^MF;2 t^MI ow^FF;3
手执	s^II M6w^MF;2 dz^MI M6^MM;1 p^FF
手持	s^II M6w^MF;2 ts^MI iM^FF;4
手掌	s^II M6w^MF;2 dz^MI M9M^MM;2 N^FF
手推	s^II M6w^MF;2 t^MI M9y^FF;1
手推车	s^II M6w^MF;2 t^MI M9y^MF;1 ts^MI EM^FF;1
手术	s^II M6w^MF;2 s^MI M9M^MM;6 t^FF
手法	s^II M6w^MF;2 f^MI aM^MM;3 t^FF
手续	s^II M6w^MF;2 dz^MI uM^MM;6 k^FF
手表	s^II M6w^MF;2 b^MI iw^FF;1
手袋	s^II M6w^MF;2 d^MI OMj^FF;2
手铐	s^II M6w^MF;2 k^MI M6w^FF;3
才	ts^II OMj^FF;4
才能	ts^II OMj^MF;4 n^MI M6^MM;4 N^FF
扑	p^II OM^MM;3 k^FF
扑灭	p^II OM^MM;3 k^MF m^MI iM^MM;6 t^FF
扒手	p^II aM^MF;4 s^MI M6w^FF;2
打	d^II aM^FF;2
打伤	d^II aM^MF;2 s^MI M9M^MM;1 N^FF
打入	d^II aM^MF;2 j^MI M6^MM;6 p^FF
打出	d^II aM^MF;2 ts^MI M9M^MM;1 t^FF
打击	d^II aM^MF;2 g^MI iM^MM;1 k^FF
打劫	d^II aM^MF;2 g^MI iM^MM;3 p^FF
打回	d^II aM^MF;2 w^MI uMj^FF;4
打工	d^II aM^MF;2 g^MI uM^MM;1 N^FF
打工仔	d^II aM^MF;2 g^MI uM^MM;1 N^MF dz^MI M6j^FF;2
打开	d^II aM^MF;2 h^MI OMj^FF;1
打得	d^II aM^MF;2 d^MI M6^MM;1 k^FF
打扮	d^II aM^MF;2 b^MI aM^MM;6 n^FF
打招呼	d^II aM^MF;2 dz^MI iw^MF;1 f^MI uM^FF;1
打斗	d^II aM^MF;2 d^MI M6w^FF;3
打气	d^II aM^MF;2 h^MI ej^FF;3
打法	d^II aM^MF;2 f^MI aM^MM;3 t^FF
打消	d^II aM^MF;2 s^MI iw^FF;1
打消念头	d^II aM^MF;2 s^MI iw^MF;1 n^MI iM^MM;6 m^MF t^MI M6w^FF;4
打点	d^II aM^MF;2 d^MI iM^MM;2 m^FF
打电话	d^II aM^MF;2 d^MI iM^MM;6 n^MF w^MI aM^FF;2
打破	d^II aM^MF;2 p^MI OM^FF;3
打算	d^II aM^MF;2 s^MI yM^MM;3 n^FF
打草	d^II aM^MF;2 ts^MI ow^FF;2
打草惊蛇	d^II aM^MF;2 ts^MI ow^MF;2 g^MI iM^MM;1 N^MF s^MI EM^FF;4
打针	d^II aM^MF;2 dz^MI M6^MM;1 m^FF
打错	d^II aM^MF;2 ts^MI OM^FF;3
打鼓	d^II aM^MF;2 g^MI uM^FF;2
托儿	t^II OM^MM;3 k^MF j^MI iM^FF;4
托车	t^II OM^MM;3 k^MF ts^MI EM^FF;1
扣留	k^II M6w^MF;3 l^MI M6w^FF;4
扣货	k^II M6w^MF;3 f^MI OM^FF;3
扣除	k^II M6w^MF;3 ts^MI M9y^FF;4
执	dz^II M6^MM;1 p^FF
执法	dz^II M6^MM;1 p^MF f^MI aM^MM;3 t^FF
执笔	dz^II M6^MM;1 p^MF b^MI M6^MM;1 t^FF
执行	dz^II M6^MM;1 p^MF h^MI M6^MM;4 N^FF
扩	kw^II OM^MM;3 N^FF
扩产	kw^II OM^MM;3 N^MF ts^MI aM^MM;2 n^FF
扩大	kw^II OM^MM;3 N^MF d^MI aMj^FF;6
扩展	k^II OM^MM;3 k^MF dz^MI iM^MM;2 n^FF
扩建	kw^II OM^MM;3 N^MF g^MI iM^MM;3 n^FF
扩张	kw^II OM^MM;3 N^MF dz^MI M9M^MM;1 N^FF
扩散	kw^II OM^MM;3 N^MF s^MI aM^MM;3 n^FF
扩音	k^II OM^MM;3 N^MF j^MI M6^MM;1 m^FF
扩音器	kw^II OM^MM;3 N^MF j^MI M6^MM;1 m^MF h^MI ej^FF;3
扩音机	k^II OM^MM;3 N^MF j^MI M6^MM;1 m^MF g^MI ej^FF;1
扫	s^II ow^FF;3
扫墓	s^II ow^MF;3 m^MI ow^FF;6
扬	j^II M9M^MM;4 N^FF
扬言	j^II M9M^MM;4 N^MF j^MI iM^MM;4 n^FF
扭	n^II M6w^FF;2
扭转	l^II M6w^MF;2 dz^MI yM^MM;3 n^FF
扭转乾坤	l^II M6w^MF;2 dz^MI yM^MM;3 n^MF k^MI iM^MM;4 n^MF kw^MI M6^MM;1 n^FF
扮	b^II aM^MM;6 n^FF
扮演	b^II aM^MM;6 n^MF j^MI iM^MM;2 n^FF
扯	ts^II EM^FF;2
扯平	ts^II EM^MF;2 p^MI iM^MM;4 N^FF
扳平	p^II aM^MM;1 n^MF p^MI iM^MM;4 N^FF
扶	f^II uM^FF;6
扶起	f^II uM^MF;4 h^MI ej^FF;2
批	p^II M6j^FF;1
批准	p^II M6j^MF;1 dz^MI M9M^MM;2 n^FF
批判	p^II M6j^MF;1 p^MI iM^MM;4 N^FF
批判者	p^II M6j^MF;1 p^MI iM^MM;4 N^MF dz^MI EM^FF;2
批核	p^II M6j^MF;1 h^MI M6^MM;6 t^FF
批租	p^II M6j^MF;1 dz^MI ow^FF;1
批评	p^II M6j^MF;1 p^MI iM^MM;4 N^FF
批评者	p^II M6j^MF;1 p^MI iM^MM;4 N^MF dz^MI EM^FF;2
批货	p^II M6j^MF;1 f^MI OM^FF;3
找	dz^II aMw^FF;2
找到	dz^II aMw^MF;2 d^MI ow^FF;3
找寻	dz^II aMw^MF;2 ts^MI M6^MM;4 m^FF
承受	s^II iM^MM;4 N^MF s^MI M6w^FF;6
承建	s^II iM^MM;4 N^MF g^MI iM^MM;3 n^FF
承建商	s^II iM^MM;4 N^MF g^MI iM^MM;3 n^MF s^MI M9M^MM;1 N^FF
承担	s^II iM^MM;4 N^MF d^MI aM^MM;1 m^FF
承担风险	s^II iM^MM;4 N^MF d^MI aM^MM;1 m^MF f^MI uM^MM;1 N^MF h^MI iM^MM;2 m^FF
承接	s^II iM^MM;4 N^MF dz^MI iM^MM;3 p^FF
承认	s^II iM^MM;4 N^MF j^MI iM^MM;6 N^FF
承诺	s^II iM^MM;4 N^MF l^MI OM^MM;6 k^FF
承造	s^II iM^MM;4 N^MF dz^MI ow^FF;6
技巧	g^II ej^MF;6 h^MI aMw^FF;2
技术	g^II ej^MF;6 s^MI M9M^MM;6 t^FF
技术产业	g^II ej^MF;6 s^MI M9M^MM;6 t^MF ts^MI aM^MM;2 n^MF j^MI iM^MM;6 p^FF
技术指标	g^II ej^MF;6 s^MI M9M^MM;6 t^MF dz^MI iM^MF;2 b^MI iw^FF;1
技术顾问	g^II ej^MF;6 s^MI M9M^MM;6 t^MF g^MI uM^MF;3 m^MI M6^MM;6 n^FF
技能	g^II ej^MF;6 n^MI M6^MM;4 N^FF
抄	ts^II aMw^FF;1
把	b^II aM^FF;2
把儿	b^II aM^MF;2 j^MI iM^FF;4
把关	b^II aM^MF;2 gw^MI aM^MM;1 n^FF
把头	b^II aM^MF;2 t^MI M6w^FF;4
把它买	b^II aM^MF;2 t^MI aM^MF;1 m^MI aMj^FF;5
把戏	b^II aM^MF;2 h^MI ej^FF;3
把手	b^II aM^MF;2 s^MI M6w^FF;2
把握	b^II aM^MF;2 aM^MI;1 k^FF
把酒	b^II aM^MF;2 dz^MI M6w^FF;2
抑郁	j^II iM^MM;1 k^MF w^MI M6^MM;1 t^FF
抒怀	s^II yM^MF;1 w^MI aMj^FF;4
抓获	dz^II aMw^MF;2 w^MI OM^MM;6 k^FF
投	t^II M6w^FF;4
投下	t^II M6w^MF;4 h^MI aM^FF;6
投产	t^II M6w^MF;4 ts^MI aM^MM;2 n^FF
投入	t^II M6w^MF;4 j^MI M6^MM;6 p^FF
投射	t^II M6w^MF;4 s^MI EM^FF;6
投得	t^II M6w^MF;4 d^MI M6^MM;1 k^FF
投掷	t^II M6w^MF;4 dz^MI aM^MM;6 k^FF
投放	t^II M6w^MF;4 f^MI OM^MM;3 N^FF
投机	t^II M6w^MF;4 g^MI ej^FF;1
投机者	t^II M6w^MF;4 g^MI ej^MF;1 dz^MI EM^FF;2
投注	t^II M6w^MF;4 dz^MI yM^FF;3
投注站	t^II M6w^MF;4 dz^MI yM^MF;3 dz^MI aM^MM;6 m^FF
投注额	t^II M6w^MF;4 dz^MI yM^MF;3 N^MI aM^MM;2 k^FF
投票	t^II M6w^MF;4 p^MI iw^FF;3
投票权	t^II M6w^MF;4 p^MI iw^MF;3 k^MI yM^MM;4 n^FF
投票率	t^II M6w^MF;4 p^MI iw^MF;3 l^MI M9M^MM;2 t^FF
投票表决	t^II M6w^MF;4 p^MI iw^MF;3 b^MI iw^MF;2 k^MI yM^MM;3 t^FF
投票选举	t^II M6w^MF;4 p^MI iw^MF;3 s^MI yM^MM;2 n^MF g^MI M9y^FF;2
投诉	t^II M6w^MF;4 s^MI ow^FF;3
投诉无门	t^II M6w^MF;4 s^MI ow^MF;3 m^MI ow^MF;4 m^MI uM^MM;4 n^FF
投资	t^II M6w^MF;4 dz^MI iM^FF;1
投资气氛	t^II M6w^MF;4 dz^MI iM^MF;1 h^MI ej^MF;3 f^MI M6^MM;1 n^FF
投资者	t^II M6w^MF;4 dz^MI iM^MF;1 dz^MI EM^FF;2
投资额	t^II M6w^MF;4 dz^MI iM^MF;1 aM^MI;2 k^FF
投降	t^II M6w^MF;4 h^MI OM^MM;4 N^FF
投鼠忌器	t^II M6w^MF;4 s^MI yM^MF;2 g^MI ej^MF;6 h^MI ej^FF;3
抗	k^II OM^MM;3 N^FF
抗争	k^II OM^MM;3 N^MF dz^MI M6^MM;1 N^FF
抗力	k^II OM^MM;3 N^MF l^MI iM^MM;6 k^FF
抗生	k^II OM^MM;3 N^MF s^MI M6^MM;1 N^FF
抗生素	k^II OM^MM;3 N^MF s^MI M6^MM;1 N^MF s^MI ow^FF;3
抗癌	k^II OM^MM;3 N^MF N^MI aM^MM;4 m^FF
抗议	k^II OM^MM;3 N^MF j^MI iM^FF;5
抗辩	k^II OM^MM;3 N^MF b^MI iM^MM;6 n^FF
折头	dz^II iM^MM;3 t^MF t^MI M6w^FF;4
折扣	dz^II iM^MM;3 t^MF k^MI M6w^FF;3
折断	dz^II iM^MM;3 t^MF t^MI yM^MM;5 n^FF
抚顺	f^II uM^MF;2 s^MI M9M^MM;6 n^FF
抛	p^II aMw^FF;1
抛下	p^II aMw^MF;1 h^MI aM^FF;6
抛出	p^II aMw^MF;1 ts^MI M9M^MM;1 t^FF
抛售	p^II aMw^MF;1 s^MI M6w^FF;6
抛荒	p^II aMw^MF;1 f^MI OM^MM;1 N^FF
抢	ts^II M9M^MM;2 N^FF
抢掠	ts^II M9M^MM;2 N^MF l^MI M9M^MM;6 k^FF
抢救	ts^II M9M^MM;2 N^MF g^MI M6w^FF;3
抢购	ts^II M9M^MM;2 N^MF k^MI M6w^FF;3
抢走	ts^II M9M^MM;2 N^MF dz^MI M6w^FF;2
护人	w^II uM^MF;6 j^MI M6^MM;4 n^FF
护卫	w^II uM^MF;6 w^MI M6j^FF;6
护士	w^II uM^MF;6 s^MI iM^FF;6
护理	w^II uM^MF;6 l^MI ej^FF;5
护肤	w^II uM^MF;6 f^MI uM^FF;1
护肤品	w^II uM^MF;6 f^MI uM^MF;1 b^MI M6^MM;2 n^FF
护车	w^II uM^MF;6 ts^MI EM^FF;1
报	b^II ow^FF;3
报业	b^II ow^MF;3 j^MI iM^MM;6 p^FF
报刊	b^II ow^MF;3 h^MI OM^MM;2 n^FF
报到	b^II ow^MF;3 d^MI ow^FF;3
报告	b^II ow^MF;3 g^MI ow^FF;3
报告书	b^II ow^MF;3 g^MI ow^MF;3 s^MI yM^FF;1
报导	b^II ow^MF;3 d^MI ow^FF;6
报报	b^II ow^MF;3 b^MI ow^FF;3
报检	b^II ow^MF;3 g^MI iM^MM;2 m^FF
报称	b^II ow^MF;3 ts^MI iM^MM;1 N^FF
报章	b^II ow^MF;3 dz^MI M9M^MM;1 N^FF
报答	b^II ow^MF;3 d^MI aM^MM;3 p^FF
报纸	b^II ow^MF;3 dz^MI iM^FF;2
报警	b^II ow^MF;3 g^MI iM^MM;2 N^FF
报道	b^II ow^MF;3 d^MI ow^FF;6
报馆	b^II ow^MF;3 g^MI uM^MM;2 n^FF
抨击	p^II iM^MM;4 N^MF g^MI iM^MM;1 k^FF
披	p^II ej^FF;1
披在	p^II ej^MF;1 dz^MI OMj^FF;6
披起	p^II ej^MF;1 h^MI ej^FF;2
披露	p^II ej^MF;1 l^MI ow^FF;6
抱	p^II ow^FF;5
抱出	p^II ow^MF;5 ts^MI M9M^MM;1 t^FF
抱病	p^II ow^MF;5 b^MI EM^MM;6 N^FF
抵	d^II M6j^FF;2
抵抗	d^II M6j^MF;2 k^MI OM^MM;3 N^FF
抵抗力	d^II M6j^MF;2 k^MI OM^MM;3 N^MF l^MI iM^MM;6 k^FF
抵押	d^II M6j^MF;2 N^MI aM^MM;3 t^FF
抵触	d^II M6j^MF;2 dz^MI uM^MM;1 k^FF
抵达	d^II M6j^MF;2 d^MI aM^MM;6 t^FF
抹掉	m^II uM^MM;3 t^MF d^MI iw^FF;6
抹煞	m^II uM^MM;3 t^MF s^MI aM^MM;3 t^FF
押	N^II aM^MM;3 t^FF
押后	N^II aM^MM;3 t^MF h^MI M6w^FF;6
抽取	ts^II M6w^MF;1 ts^MI M9y^FF;2
抽查	ts^II M6w^MF;1 ts^MI aM^FF;4
抽水	ts^II M6w^MF;1 s^MI M9y^FF;2
抽水泵	ts^II M6w^MF;1 s^MI M9y^MF;2 b^MI M6^MM;1 m^FF
抽筋	ts^II M6w^MF;1 g^MI M6^MM;1 n^FF
抽调	ts^II M6w^MF;1 d^MI iw^FF;6
担任	d^II aM^MM;1 m^MF j^MI M6^MM;6 m^FF
担保	d^II aM^MM;1 m^MF b^MI ow^FF;2
担心	d^II aM^MM;1 m^MF s^MI M6^MM;1 m^FF
担风险	d^II aM^MM;1 m^MF f^MI uM^MM;1 N^MF h^MI iM^MM;2 m^FF
拆	ts^II aM^MM;3 k^FF
拆借	ts^II aM^MM;3 k^MF dz^MI EM^FF;3
拆卸	ts^II aM^MM;3 k^MF s^MI EM^FF;3
拆去	ts^II aM^MM;3 k^MF h^MI M9y^FF;3
拆帐	ts^II aM^MM;3 t^MF dz^MI M9M^MM;3 N^FF
拆息	ts^II aM^MM;3 k^MF s^MI iM^MM;1 k^FF
拆迁	ts^II aM^MM;3 k^MF ts^MI iM^MM;1 n^FF
拆除	ts^II aM^MM;3 k^MF ts^MI M9y^FF;4
拉	l^II aMj^FF;1
拉伯	l^II aMj^MF;1 b^MI aM^MM;3 k^FF
拉克	l^II aMj^MF;1 h^MI M6^MM;1 k^FF
拉出	l^II aMj^MF;1 ts^MI M9M^MM;1 t^FF
拉德	l^II aMj^MF;1 d^MI M6^MM;1 k^FF
拉德利	l^II aMj^MF;1 d^MI M6^MM;1 k^MF l^MI ej^FF;5
拉湾	l^II aMj^MF;1 w^MI aM^MM;1 n^FF
拉票	l^II aMj^MF;1 p^MI iw^FF;3
拍	p^II aM^MM;3 k^FF
拍卖	p^II aM^MM;3 k^MF m^MI aMj^FF;6
拍得	p^II aM^MM;3 k^MF d^MI M6^MM;1 k^FF
拍成	p^II aM^MM;3 k^MF s^MI iM^MM;4 N^FF
拍档	p^II aM^MM;3 k^MF d^MI OM^MM;3 N^FF
拍照	p^II aM^MM;3 k^MF dz^MI iw^FF;3
拍片	p^II aM^MM;3 k^MF p^MI iM^MM;2 n^FF
拒	k^II M9y^FF;5
拒按	k^II M9y^MF;5 N^MI OM^MM;3 n^FF
拒绝	k^II M9y^MF;5 dz^MI yM^MM;6 t^FF
拒绝接受	k^II M9y^MF;5 dz^MI yM^MM;6 t^MF dz^MI iM^MM;3 p^MF s^MI M6w^FF;6
拒谈	k^II M9y^MF;5 t^MI aM^MM;4 m^FF
拓展	t^II OM^MM;3 k^MF dz^MI iM^MM;2 n^FF
拔	b^II M6^MM;6 t^FF
拖	t^II OM^FF;1
拖出	t^II OM^MF;1 ts^MI M9M^MM;1 t^FF
拖动	t^II OM^MF;1 d^MI uM^MM;6 N^FF
拖回	t^II OM^MF;1 w^MI uMj^FF;4
拖得	t^II OM^MF;1 d^MI M6^MM;1 k^FF
拖欠	t^II OM^MF;1 h^MI iM^MM;3 m^FF
拖累	t^II OM^MF;1 l^MI M9y^FF;6
拖长	t^II OM^MF;1 ts^MI M9M^MM;4 N^FF
拗	N^II aMw^FF;3
拘捕	k^II M9y^MF;1 b^MI ow^FF;6
拘留	k^II M9y^MF;1 l^MI M6w^FF;4
拘留所	k^II M9y^MF;1 l^MI M6w^MF;4 s^MI OM^FF;2
招呼	dz^II iw^MF;1 f^MI uM^FF;1
招商	dz^II iw^MF;1 s^MI M9M^MM;1 N^FF
招商局	dz^II iw^MF;1 s^MI M9M^MM;1 N^MF g^MI uM^MM;2 k^FF
招待	dz^II iw^MF;1 d^MI OMj^FF;6
招徕	dz^II iw^MF;1 l^MI OMj^FF;4
招来	dz^II iw^MF;1 l^MI OMj^FF;4
招标	dz^II iw^MF;1 b^MI iw^FF;1
招满	dz^II iw^MF;1 m^MI uM^MM;5 n^FF
招牌	dz^II iw^MF;1 p^MI aMj^FF;4
招股	dz^II iw^MF;1 g^MI uM^FF;2
招股书	dz^II iw^MF;1 g^MI uM^MF;2 s^MI yM^FF;1
拜会	b^II aMj^MF;3 w^MI uMj^FF;3
拟	j^II iM^FF;4
拣	g^II aM^MM;2 n^FF
拥有	j^II uM^MM;2 N^MF j^MI M6w^FF;5
拦路	l^II aM^MM;4 n^MF l^MI ow^FF;6
拧	l^II iM^MM;6 N^FF
拨	b^II uM^MM;6 t^FF
拨作	b^II uM^MM;6 t^MF dz^MI OM^MM;3 k^FF
拨款	b^II uM^MM;6 t^MF f^MI uM^MM;2 n^FF
拭	s^II iM^MM;1 k^FF
拱让	g^II uM^MM;2 N^MF j^MI M9M^MM;6 N^FF
拳打	k^II yM^MM;4 n^MF d^MI aM^FF;2
拳打脚踢	k^II yM^MM;4 n^MF d^MI aM^MF;2 g^MI M9M^MM;3 k^MF t^MI EM^MM;3 k^FF
拾获	s^II M6^MM;6 p^MF w^MI OM^MM;6 k^FF
拿	l^II aM^FF;4
拿不出	n^II aM^MF;4 b^MI M6^MM;1 t^MF ts^MI M9M^MM;1 t^FF
拿出	l^II aM^MF;4 ts^MI M9M^MM;1 t^FF
拿到	l^II aM^MF;4 d^MI ow^FF;3
持	ts^II iM^FF;4
持平	ts^II iM^MF;4 p^MI iM^MM;4 N^FF
持有	ts^II iM^MF;4 j^MI M6w^FF;5
持法	ts^II iM^MF;4 f^MI aM^MM;3 t^FF
持球	ts^II iM^MF;4 k^MI M6w^FF;4
持续	ts^II iM^MF;4 dz^MI uM^MM;6 k^FF
挂	gw^II aM^FF;3
挂出	gw^II aM^MF;3 ts^MI M9M^MM;1 t^FF
挂旗	gw^II aM^MF;3 k^MI ej^FF;4
挂牌	gw^II aM^MF;3 p^MI aMj^FF;4
挂羊头	gw^II aM^MF;3 j^MI M9M^MM;4 N^MF t^MI M6w^FF;4
挂羊头卖	gw^II aM^MF;3 j^MI M9M^MM;4 N^MF t^MI M6w^MF;4 m^MI aMj^FF;6
挂羊头卖狗肉	gw^II aM^MF;3 j^MI M9M^MM;4 N^MF t^MI M6w^MF;4 m^MI aMj^MF;6 g^MI M6w^MF;2 j^MI uM^MM;6 k^FF
指	dz^II iM^FF;2
指出	dz^II iM^MF;2 ts^MI M9M^MM;1 t^FF
指名	dz^II iM^MF;2 m^MI iM^MM;4 N^FF
指名道姓	dz^II iM^MF;2 m^MI iM^MM;4 N^MF d^MI ow^MF;6 s^MI iM^MM;3 N^FF
指引	dz^II iM^MF;2 j^MI M6^MM;5 n^FF
指挥	dz^II iM^MF;2 f^MI M6j^FF;1
指挥部	dz^II iM^MF;2 f^MI M6j^MF;1 b^MI ow^FF;6
指控	dz^II iM^MF;2 h^MI uM^MM;3 N^FF
指数	dz^II iM^MF;2 s^MI ow^FF;3
指明	dz^II iM^MF;2 m^MI iM^MM;4 N^FF
指标	dz^II iM^MF;2 b^MI iw^FF;1
指称	dz^II iM^MF;2 ts^MI iM^MM;1 N^FF
指纹	dz^II iM^MF;2 m^MI M6^MM;4 n^FF
指责	dz^II iM^MF;2 dz^MI aM^MM;3 k^FF
按	N^II OM^MM;3 n^FF
按捺	N^II OM^MM;3 n^MF l^MI OMj^FF;6
按捺不住	N^II OM^MM;3 n^MF l^MI OMj^MF;6 b^MI M6^MM;1 t^MF dz^MI yM^FF;6
按揭	N^II OM^MM;3 n^MF k^MI iM^MM;3 t^FF
按摩	N^II OM^MM;3 n^MF m^MI OM^FF;1
按照	N^II OM^MM;3 n^MF dz^MI iw^FF;3
按部就班	OM^II;3 n^MF b^MI ow^MF;6 dz^MI M6w^MF;6 b^MI aM^MM;1 n^FF
按金	N^II OM^MM;3 n^MF g^MI M6^MM;1 m^FF
挑出	t^II iw^MF;1 ts^MI M9M^MM;1 t^FF
挑战	t^II iw^MF;1 dz^MI iM^MM;3 n^FF
挑选	t^II iw^MF;1 s^MI yM^MM;2 n^FF
挞	t^II aM^MM;3 t^FF
挡风	d^II OM^MM;2 N^MF f^MI uM^MM;1 N^FF
挡风玻璃	d^II OM^MM;2 N^MF f^MI uM^MM;1 N^MF b^MI OM^MF;1 l^MI ej^FF;1
挣扎	dz^II M6^MM;1 N^MF dz^MI aM^MM;3 t^FF
挤	dz^II M6j^FF;1
挤压	dz^II M6j^MF;1 N^MI aM^MM;3 t^FF
挥	f^II M6j^FF;1
挥军	f^II M6j^MF;1 gw^MI M6^MM;1 n^FF
挨	N^II aMj^FF;4
挪用	l^II aM^MF;4 j^MI uM^MM;6 N^FF
挫	ts^II OM^FF;3
挫败	ts^II OM^MF;3 b^MI aMj^FF;6
振兴	dz^II M6^MM;3 n^MF h^MI iM^MM;1 N^FF
挽	w^II aM^MM;5 n^FF
挽回	w^II aM^MM;5 n^MF w^MI uMj^FF;4
挽救	w^II aM^MM;5 n^MF g^MI M6w^FF;3
挽留	w^II aM^MM;5 n^MF l^MI M6w^FF;4
捆	kw^II M6^MM;2 n^FF
捉	dz^II uM^MM;1 k^FF
捉到	dz^II uM^MM;1 k^MF d^MI ow^FF;3
捉拿	dz^II uM^MM;1 k^MF n^MI aM^FF;4
捉贼	dz^II uM^MM;1 k^MF ts^MI aM^MM;2 k^FF
捐	g^II yM^MM;1 n^FF
捐出	g^II yM^MM;1 n^MF ts^MI M9M^MM;1 t^FF
捐助	g^II yM^MM;1 n^MF dz^MI OM^FF;6
捐助者	g^II yM^MM;1 n^MF dz^MI OM^MF;6 dz^MI EM^FF;2
捐款	g^II yM^MM;1 n^MF f^MI uM^MM;2 n^FF
捐给	g^II yM^MM;1 n^MF k^MI M6^MM;1 p^FF
捕捉	b^II ow^MF;6 dz^MI uM^MM;1 k^FF
损	s^II yM^MM;2 n^FF
损失	s^II yM^MM;2 n^MF s^MI M6^MM;1 t^FF
损毁	s^II yM^MM;2 n^MF w^MI M6j^FF;2
捡	g^II iM^MM;2 m^FF
捡起	g^II iM^MM;2 m^MF h^MI ej^FF;2
捡起来	g^II iM^MM;2 m^MF h^MI ej^MF;2 l^MI OMj^FF;4
换	w^II uM^MM;6 n^FF
换点	w^II uM^MM;6 n^MF d^MI iM^MM;2 m^FF
换车	w^II uM^MM;6 n^MF ts^MI EM^FF;1
换部	w^II uM^MM;6 n^MF b^MI ow^FF;6
捣乱	d^II ow^MF;2 l^MI yM^MM;6 n^FF
捧	p^II uM^MM;2 N^FF
捧住	p^II uM^MM;2 N^MF dz^MI yM^FF;6
捧场	p^II uM^MM;2 N^MF ts^MI M9M^MM;4 N^FF
捧成	p^II uM^MM;2 N^MF s^MI iM^MM;4 N^FF
捧腹	p^II uM^MM;2 N^MF f^MI uM^MM;1 k^FF
